最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
596,596,49,825,江西,文科,2022,750,3+X
595,595,53,878,江西,文科,2022,750,3+X
594,594,46,924,江西,文科,2022,750,3+X
593,593,57,981,江西,文科,2022,750,3+X
592,592,60,1041,江西,文科,2022,750,3+X
591,591,57,1098,江西,文科,2022,750,3+X
590,590,64,1162,江西,文科,2022,750,3+X
589,589,60,1222,江西,文科,2022,750,3+X
588,588,68,1290,江西,文科,2022,750,3+X
587,587,65,1355,江西,文科,2022,750,3+X
586,586,69,1424,江西,文科,2022,750,3+X
585,585,83,1507,江西,文科,2022,750,3+X
584,584,88,1595,江西,文科,2022,750,3+X
583,583,77,1672,江西,文科,2022,750,3+X
582,582,100,1772,江西,文科,2022,750,3+X
581,581,99,1871,江西,文科,2022,750,3+X
580,580,87,1958,江西,文科,2022,750,3+X
579,579,106,2064,江西,文科,2022,750,3+X
578,578,111,2175,江西,文科,2022,750,3+X
577,577,113,2288,江西,文科,2022,750,3+X
576,576,108,2396,江西,文科,2022,750,3+X
575,575,123,2519,江西,文科,2022,750,3+X
574,574,114,2633,江西,文科,2022,750,3+X
573,573,146,2779,江西,文科,2022,750,3+X
572,572,113,2892,江西,文科,2022,750,3+X
571,571,127,3019,江西,文科,2022,750,3+X
570,570,119,3138,江西,文科,2022,750,3+X
569,569,141,3279,江西,文科,2022,750,3+X
568,568,161,3440,江西,文科,2022,750,3+X
567,567,172,3612,江西,文科,2022,750,3+X
566,566,159,3771,江西,文科,2022,750,3+X
565,565,137,3908,江西,文科,2022,750,3+X
564,564,194,4102,江西,文科,2022,750,3+X
563,563,175,4277,江西,文科,2022,750,3+X
562,562,170,4447,江西,文科,2022,750,3+X
561,561,192,4639,江西,文科,2022,750,3+X
560,560,210,4849,江西,文科,2022,750,3+X
559,559,226,5075,江西,文科,2022,750,3+X
558,558,203,5278,江西,文科,2022,750,3+X
557,557,209,5487,江西,文科,2022,750,3+X
556,556,216,5703,江西,文科,2022,750,3+X
555,555,224,5927,江西,文科,2022,750,3+X
554,554,236,6163,江西,文科,2022,750,3+X
553,553,235,6398,江西,文科,2022,750,3+X
552,552,249,6647,江西,文科,2022,750,3+X
551,551,265,6912,江西,文科,2022,750,3+X
550,550,280,7192,江西,文科,2022,750,3+X
549,549,297,7489,江西,文科,2022,750,3+X
548,548,273,7762,江西,文科,2022,750,3+X
547,547,292,8054,江西,文科,2022,750,3+X
546,546,267,8321,江西,文科,2022,750,3+X
545,545,305,8626,江西,文科,2022,750,3+X
544,544,306,8932,江西,文科,2022,750,3+X
543,543,332,9264,江西,文科,2022,750,3+X
542,542,338,9602,江西,文科,2022,750,3+X
541,541,348,9950,江西,文科,2022,750,3+X
540,540,303,10253,江西,文科,2022,750,3+X
539,539,375,10628,江西,文科,2022,750,3+X
538,538,405,11033,江西,文科,2022,750,3+X
537,537,407,11440,江西,文科,2022,750,3+X
536,536,389,11829,江西,文科,2022,750,3+X
535,535,399,12228,江西,文科,2022,750,3+X
534,534,385,12613,江西,文科,2022,750,3+X
533,533,385,12998,江西,文科,2022,750,3+X
532,532,429,13427,江西,文科,2022,750,3+X
531,531,490,13917,江西,文科,2022,750,3+X
530,530,450,14367,江西,文科,2022,750,3+X
529,529,462,14829,江西,文科,2022,750,3+X
528,528,476,15305,江西,文科,2022,750,3+X
527,527,463,15768,江西,文科,2022,750,3+X
526,526,499,16267,江西,文科,2022,750,3+X
525,525,513,16780,江西,文科,2022,750,3+X
524,524,528,17308,江西,文科,2022,750,3+X
523,523,494,17802,江西,文科,2022,750,3+X
522,522,501,18303,江西,文科,2022,750,3+X
521,521,514,18817,江西,文科,2022,750,3+X
520,520,519,19336,江西,文科,2022,750,3+X
519,519,561,19897,江西,文科,2022,750,3+X
518,518,551,20448,江西,文科,2022,750,3+X
517,517,568,21016,江西,文科,2022,750,3+X
516,516,590,21606,江西,文科,2022,750,3+X
515,515,601,22207,江西,文科,2022,750,3+X
514,514,612,22819,江西,文科,2022,750,3+X
513,513,621,23440,江西,文科,2022,750,3+X
512,512,601,24041,江西,文科,2022,750,3+X
511,511,617,24658,江西,文科,2022,750,3+X
510,510,642,25300,江西,文科,2022,750,3+X
509,509,653,25953,江西,文科,2022,750,3+X
508,508,662,26615,江西,文科,2022,750,3+X
507,507,635,27250,江西,文科,2022,750,3+X
506,506,683,27933,江西,文科,2022,750,3+X
505,505,675,28608,江西,文科,2022,750,3+X
504,504,675,29283,江西,文科,2022,750,3+X
503,503,695,29978,江西,文科,2022,750,3+X
502,502,736,30714,江西,文科,2022,750,3+X
501,501,695,31409,江西,文科,2022,750,3+X
500,500,690,32099,江西,文科,2022,750,3+X
499,499,735,32834,江西,文科,2022,750,3+X
498,498,699,33533,江西,文科,2022,750,3+X
497,497,700,34233,江西,文科,2022,750,3+X
496,496,727,34960,江西,文科,2022,750,3+X
495,495,705,35665,江西,文科,2022,750,3+X
494,494,712,36377,江西,文科,2022,750,3+X
493,493,737,37114,江西,文科,2022,750,3+X
492,492,807,37921,江西,文科,2022,750,3+X
491,491,712,38633,江西,文科,2022,750,3+X
490,490,721,39354,江西,文科,2022,750,3+X
489,489,711,40065,江西,文科,2022,750,3+X
488,488,748,40813,江西,文科,2022,750,3+X
487,487,748,41561,江西,文科,2022,750,3+X
486,486,765,42326,江西,文科,2022,750,3+X
485,485,734,43060,江西,文科,2022,750,3+X
484,484,724,43784,江西,文科,2022,750,3+X
483,483,692,44476,江西,文科,2022,750,3+X
482,482,698,45174,江西,文科,2022,750,3+X
481,481,794,45968,江西,文科,2022,750,3+X
480,480,690,46658,江西,文科,2022,750,3+X
479,479,676,47334,江西,文科,2022,750,3+X
478,478,727,48061,江西,文科,2022,750,3+X
477,477,682,48743,江西,文科,2022,750,3+X
476,476,739,49482,江西,文科,2022,750,3+X
475,475,709,50191,江西,文科,2022,750,3+X
474,474,725,50916,江西,文科,2022,750,3+X
473,473,726,51642,江西,文科,2022,750,3+X
472,472,702,52344,江西,文科,2022,750,3+X
471,471,685,53029,江西,文科,2022,750,3+X
470,470,651,53680,江西,文科,2022,750,3+X
469,469,685,54365,江西,文科,2022,750,3+X
468,468,696,55061,江西,文科,2022,750,3+X
467,467,697,55758,江西,文科,2022,750,3+X
466,466,697,56455,江西,文科,2022,750,3+X
465,465,664,57119,江西,文科,2022,750,3+X
464,464,722,57841,江西,文科,2022,750,3+X
463,463,660,58501,江西,文科,2022,750,3+X
462,462,639,59140,江西,文科,2022,750,3+X
461,461,684,59824,江西,文科,2022,750,3+X
460,460,634,60458,江西,文科,2022,750,3+X
459,459,692,61150,江西,文科,2022,750,3+X
458,458,646,61796,江西,文科,2022,750,3+X
457,457,620,62416,江西,文科,2022,750,3+X
456,456,643,63059,江西,文科,2022,750,3+X
455,455,653,63712,江西,文科,2022,750,3+X
454,454,623,64335,江西,文科,2022,750,3+X
453,453,638,64973,江西,文科,2022,750,3+X
452,452,653,65626,江西,文科,2022,750,3+X
451,451,655,66281,江西,文科,2022,750,3+X
450,450,593,66874,江西,文科,2022,750,3+X
449,449,617,67491,江西,文科,2022,750,3+X
448,448,584,68075,江西,文科,2022,750,3+X
447,447,637,68712,江西,文科,2022,750,3+X
446,446,603,69315,江西,文科,2022,750,3+X
445,445,621,69936,江西,文科,2022,750,3+X
444,444,603,70539,江西,文科,2022,750,3+X
443,443,578,71117,江西,文科,2022,750,3+X
442,442,550,71667,江西,文科,2022,750,3+X
441,441,576,72243,江西,文科,2022,750,3+X
440,440,550,72793,江西,文科,2022,750,3+X
439,439,551,73344,江西,文科,2022,750,3+X
438,438,592,73936,江西,文科,2022,750,3+X
437,437,575,74511,江西,文科,2022,750,3+X
436,436,560,75071,江西,文科,2022,750,3+X
435,435,579,75650,江西,文科,2022,750,3+X
434,434,525,76175,江西,文科,2022,750,3+X
433,433,545,76720,江西,文科,2022,750,3+X
432,432,584,77304,江西,文科,2022,750,3+X
431,431,544,77848,江西,文科,2022,750,3+X
430,430,571,78419,江西,文科,2022,750,3+X
429,429,577,78996,江西,文科,2022,750,3+X
428,428,519,79515,江西,文科,2022,750,3+X
427,427,536,80051,江西,文科,2022,750,3+X
426,426,556,80607,江西,文科,2022,750,3+X
425,425,539,81146,江西,文科,2022,750,3+X
424,424,561,81707,江西,文科,2022,750,3+X
423,423,531,82238,江西,文科,2022,750,3+X
422,422,546,82784,江西,文科,2022,750,3+X
421,421,549,83333,江西,文科,2022,750,3+X
420,420,533,83866,江西,文科,2022,750,3+X
419,419,530,84396,江西,文科,2022,750,3+X
418,418,543,84939,江西,文科,2022,750,3+X
417,417,549,85488,江西,文科,2022,750,3+X
416,416,589,86077,江西,文科,2022,750,3+X
415,415,560,86637,江西,文科,2022,750,3+X
414,414,571,87208,江西,文科,2022,750,3+X
413,413,557,87765,江西,文科,2022,750,3+X
412,412,565,88330,江西,文科,2022,750,3+X
411,411,600,88930,江西,文科,2022,750,3+X
410,410,546,89476,江西,文科,2022,750,3+X
409,409,576,90052,江西,文科,2022,750,3+X
408,408,579,90631,江西,文科,2022,750,3+X
407,407,570,91201,江西,文科,2022,750,3+X
406,406,618,91819,江西,文科,2022,750,3+X
405,405,614,92433,江西,文科,2022,750,3+X
404,404,565,92998,江西,文科,2022,750,3+X
403,403,602,93600,江西,文科,2022,750,3+X
402,402,575,94175,江西,文科,2022,750,3+X
401,401,605,94780,江西,文科,2022,750,3+X
400,400,612,95392,江西,文科,2022,750,3+X
399,399,615,96007,江西,文科,2022,750,3+X
398,398,663,96670,江西,文科,2022,750,3+X
397,397,621,97291,江西,文科,2022,750,3+X
396,396,609,97900,江西,文科,2022,750,3+X
395,395,636,98536,江西,文科,2022,750,3+X
394,394,649,99185,江西,文科,2022,750,3+X
393,393,598,99783,江西,文科,2022,750,3+X
392,392,587,100370,江西,文科,2022,750,3+X
391,391,637,101007,江西,文科,2022,750,3+X
390,390,629,101636,江西,文科,2022,750,3+X
389,389,625,102261,江西,文科,2022,750,3+X
388,388,644,102905,江西,文科,2022,750,3+X
387,387,671,103576,江西,文科,2022,750,3+X
386,386,680,104256,江西,文科,2022,750,3+X
385,385,643,104899,江西,文科,2022,750,3+X
384,384,603,105502,江西,文科,2022,750,3+X
383,383,595,106097,江西,文科,2022,750,3+X
382,382,697,106794,江西,文科,2022,750,3+X
381,381,698,107492,江西,文科,2022,750,3+X
380,380,599,108091,江西,文科,2022,750,3+X
379,379,633,108724,江西,文科,2022,750,3+X
378,378,679,109403,江西,文科,2022,750,3+X
377,377,654,110057,江西,文科,2022,750,3+X
376,376,658,110715,江西,文科,2022,750,3+X
375,375,664,111379,江西,文科,2022,750,3+X
374,374,663,112042,江西,文科,2022,750,3+X
373,373,656,112698,江西,文科,2022,750,3+X
372,372,706,113404,江西,文科,2022,750,3+X
371,371,666,114070,江西,文科,2022,750,3+X
370,370,677,114747,江西,文科,2022,750,3+X
369,369,708,115455,江西,文科,2022,750,3+X
368,368,679,116134,江西,文科,2022,750,3+X
367,367,688,116822,江西,文科,2022,750,3+X
366,366,655,117477,江西,文科,2022,750,3+X
365,365,696,118173,江西,文科,2022,750,3+X
364,364,667,118840,江西,文科,2022,750,3+X
363,363,693,119533,江西,文科,2022,750,3+X
362,362,730,120263,江西,文科,2022,750,3+X
361,361,630,120893,江西,文科,2022,750,3+X
360,360,670,121563,江西,文科,2022,750,3+X
359,359,654,122217,江西,文科,2022,750,3+X
358,358,683,122900,江西,文科,2022,750,3+X
357,357,667,123567,江西,文科,2022,750,3+X
356,356,721,124288,江西,文科,2022,750,3+X
355,355,686,124974,江西,文科,2022,750,3+X
354,354,678,125652,江西,文科,2022,750,3+X
353,353,675,126327,江西,文科,2022,750,3+X
352,352,703,127030,江西,文科,2022,750,3+X
351,351,666,127696,江西,文科,2022,750,3+X
350,350,688,128384,江西,文科,2022,750,3+X
349,349,661,129045,江西,文科,2022,750,3+X
348,348,675,129720,江西,文科,2022,750,3+X
347,347,688,130408,江西,文科,2022,750,3+X
346,346,668,131076,江西,文科,2022,750,3+X
345,345,617,131693,江西,文科,2022,750,3+X
344,344,650,132343,江西,文科,2022,750,3+X
343,343,647,132990,江西,文科,2022,750,3+X
342,342,612,133602,江西,文科,2022,750,3+X
341,341,639,134241,江西,文科,2022,750,3+X
340,340,664,134905,江西,文科,2022,750,3+X
339,339,627,135532,江西,文科,2022,750,3+X
338,338,599,136131,江西,文科,2022,750,3+X
337,337,593,136724,江西,文科,2022,750,3+X
336,336,612,137336,江西,文科,2022,750,3+X
335,335,611,137947,江西,文科,2022,750,3+X
334,334,616,138563,江西,文科,2022,750,3+X
333,333,611,139174,江西,文科,2022,750,3+X
332,332,600,139774,江西,文科,2022,750,3+X
331,331,570,140344,江西,文科,2022,750,3+X
330,330,553,140897,江西,文科,2022,750,3+X
329,329,612,141509,江西,文科,2022,750,3+X
328,328,548,142057,江西,文科,2022,750,3+X
327,327,613,142670,江西,文科,2022,750,3+X
326,326,566,143236,江西,文科,2022,750,3+X
325,325,610,143846,江西,文科,2022,750,3+X
324,324,553,144399,江西,文科,2022,750,3+X
323,323,553,144952,江西,文科,2022,750,3+X
322,322,550,145502,江西,文科,2022,750,3+X
321,321,536,146038,江西,文科,2022,750,3+X
320,320,588,146626,江西,文科,2022,750,3+X
319,319,523,147149,江西,文科,2022,750,3+X
318,318,555,147704,江西,文科,2022,750,3+X
317,317,555,148259,江西,文科,2022,750,3+X
316,316,503,148762,江西,文科,2022,750,3+X
315,315,493,149255,江西,文科,2022,750,3+X
314,314,479,149734,江西,文科,2022,750,3+X
313,313,503,150237,江西,文科,2022,750,3+X
312,312,489,150726,江西,文科,2022,750,3+X
311,311,469,151195,江西,文科,2022,750,3+X
310,310,512,151707,江西,文科,2022,750,3+X
309,309,489,152196,江西,文科,2022,750,3+X
308,308,479,152675,江西,文科,2022,750,3+X
307,307,479,153154,江西,文科,2022,750,3+X
306,306,482,153636,江西,文科,2022,750,3+X
305,305,506,154142,江西,文科,2022,750,3+X
304,304,437,154579,江西,文科,2022,750,3+X
303,303,404,154983,江西,文科,2022,750,3+X
302,302,444,155427,江西,文科,2022,750,3+X
301,301,448,155875,江西,文科,2022,750,3+X
300,300,453,156328,江西,文科,2022,750,3+X
299,299,427,156755,江西,文科,2022,750,3+X
298,298,439,157194,江西,文科,2022,750,3+X
297,297,426,157620,江西,文科,2022,750,3+X
296,296,410,158030,江西,文科,2022,750,3+X
295,295,425,158455,江西,文科,2022,750,3+X
294,294,412,158867,江西,文科,2022,750,3+X
293,293,359,159226,江西,文科,2022,750,3+X
292,292,427,159653,江西,文科,2022,750,3+X
291,291,383,160036,江西,文科,2022,750,3+X
290,290,409,160445,江西,文科,2022,750,3+X
289,289,360,160805,江西,文科,2022,750,3+X
288,288,371,161176,江西,文科,2022,750,3+X
287,287,403,161579,江西,文科,2022,750,3+X
286,286,376,161955,江西,文科,2022,750,3+X
285,285,407,162362,江西,文科,2022,750,3+X
284,284,372,162734,江西,文科,2022,750,3+X
283,283,362,163096,江西,文科,2022,750,3+X
282,282,366,163462,江西,文科,2022,750,3+X
281,281,349,163811,江西,文科,2022,750,3+X
280,280,349,164160,江西,文科,2022,750,3+X
279,279,380,164540,江西,文科,2022,750,3+X
278,278,358,164898,江西,文科,2022,750,3+X
277,277,335,165233,江西,文科,2022,750,3+X
276,276,347,165580,江西,文科,2022,750,3+X
275,275,351,165931,江西,文科,2022,750,3+X
274,274,354,166285,江西,文科,2022,750,3+X
273,273,335,166620,江西,文科,2022,750,3+X
272,272,342,166962,江西,文科,2022,750,3+X
271,271,354,167316,江西,文科,2022,750,3+X
270,270,301,167617,江西,文科,2022,750,3+X
269,269,295,167912,江西,文科,2022,750,3+X
268,268,329,168241,江西,文科,2022,750,3+X
267,267,312,168553,江西,文科,2022,750,3+X
266,266,333,168886,江西,文科,2022,750,3+X
265,265,297,169183,江西,文科,2022,750,3+X
264,264,310,169493,江西,文科,2022,750,3+X
263,263,278,169771,江西,文科,2022,750,3+X
262,262,313,170084,江西,文科,2022,750,3+X
261,261,311,170395,江西,文科,2022,750,3+X
260,260,300,170695,江西,文科,2022,750,3+X
259,259,262,170957,江西,文科,2022,750,3+X
258,258,269,171226,江西,文科,2022,750,3+X
257,257,257,171483,江西,文科,2022,750,3+X
256,256,280,171763,江西,文科,2022,750,3+X
255,255,300,172063,江西,文科,2022,750,3+X
254,254,263,172326,江西,文科,2022,750,3+X
253,253,277,172603,江西,文科,2022,750,3+X
252,252,269,172872,江西,文科,2022,750,3+X
251,251,245,173117,江西,文科,2022,750,3+X
250,250,256,173373,江西,文科,2022,750,3+X
249,249,285,173658,江西,文科,2022,750,3+X
248,248,216,173874,江西,文科,2022,750,3+X
247,247,242,174116,江西,文科,2022,750,3+X
246,246,260,174376,江西,文科,2022,750,3+X
245,245,250,174626,江西,文科,2022,750,3+X
244,244,240,174866,江西,文科,2022,750,3+X
243,243,242,175108,江西,文科,2022,750,3+X
242,242,236,175344,江西,文科,2022,750,3+X
241,241,232,175576,江西,文科,2022,750,3+X
240,240,234,175810,江西,文科,2022,750,3+X
239,239,218,176028,江西,文科,2022,750,3+X
238,238,221,176249,江西,文科,2022,750,3+X
237,237,243,176492,江西,文科,2022,750,3+X
236,236,242,176734,江西,文科,2022,750,3+X
235,235,227,176961,江西,文科,2022,750,3+X
234,234,212,177173,江西,文科,2022,750,3+X
233,233,203,177376,江西,文科,2022,750,3+X
232,232,224,177600,江西,文科,2022,750,3+X
231,231,235,177835,江西,文科,2022,750,3+X
230,230,221,178056,江西,文科,2022,750,3+X
229,229,227,178283,江西,文科,2022,750,3+X
228,228,231,178514,江西,文科,2022,750,3+X
227,227,209,178723,江西,文科,2022,750,3+X
226,226,222,178945,江西,文科,2022,750,3+X
225,225,197,179142,江西,文科,2022,750,3+X
224,224,228,179370,江西,文科,2022,750,3+X
223,223,200,179570,江西,文科,2022,750,3+X
222,222,210,179780,江西,文科,2022,750,3+X
221,221,209,179989,江西,文科,2022,750,3+X
220,220,182,180171,江西,文科,2022,750,3+X
219,219,190,180361,江西,文科,2022,750,3+X
218,218,206,180567,江西,文科,2022,750,3+X
217,217,195,180762,江西,文科,2022,750,3+X
216,216,185,180947,江西,文科,2022,750,3+X
215,215,202,181149,江西,文科,2022,750,3+X
214,214,208,181357,江西,文科,2022,750,3+X
213,213,156,181513,江西,文科,2022,750,3+X
212,212,192,181705,江西,文科,2022,750,3+X
211,211,196,181901,江西,文科,2022,750,3+X
210,210,171,182072,江西,文科,2022,750,3+X
209,209,170,182242,江西,文科,2022,750,3+X
208,208,162,182404,江西,文科,2022,750,3+X
207,207,141,182545,江西,文科,2022,750,3+X
206,206,157,182702,江西,文科,2022,750,3+X
205,205,174,182876,江西,文科,2022,750,3+X
204,204,171,183047,江西,文科,2022,750,3+X
203,203,156,183203,江西,文科,2022,750,3+X
202,202,164,183367,江西,文科,2022,750,3+X
201,201,161,183528,江西,文科,2022,750,3+X
200,200,152,183680,江西,文科,2022,750,3+X
199,199,148,183828,江西,文科,2022,750,3+X
198,198,145,183973,江西,文科,2022,750,3+X
197,197,159,184132,江西,文科,2022,750,3+X
196,196,167,184299,江西,文科,2022,750,3+X
195,195,132,184431,江西,文科,2022,750,3+X
194,194,162,184593,江西,文科,2022,750,3+X
193,193,137,184730,江西,文科,2022,750,3+X
192,192,156,184886,江西,文科,2022,750,3+X
191,191,155,185041,江西,文科,2022,750,3+X
190,190,163,185204,江西,文科,2022,750,3+X
189,189,149,185353,江西,文科,2022,750,3+X
188,188,149,185502,江西,文科,2022,750,3+X
187,187,127,185629,江西,文科,2022,750,3+X
186,186,138,185767,江西,文科,2022,750,3+X
185,185,119,185886,江西,文科,2022,750,3+X
184,184,121,186007,江西,文科,2022,750,3+X
183,183,117,186124,江西,文科,2022,750,3+X
182,182,132,186256,江西,文科,2022,750,3+X
181,181,116,186372,江西,文科,2022,750,3+X
180,180,127,186499,江西,文科,2022,750,3+X
179,179,125,186624,江西,文科,2022,750,3+X
178,178,131,186755,江西,文科,2022,750,3+X
177,177,123,186878,江西,文科,2022,750,3+X
176,176,128,187006,江西,文科,2022,750,3+X
175,175,109,187115,江西,文科,2022,750,3+X
174,174,108,187223,江西,文科,2022,750,3+X
173,173,130,187353,江西,文科,2022,750,3+X
172,172,112,187465,江西,文科,2022,750,3+X
171,171,113,187578,江西,文科,2022,750,3+X
170,170,104,187682,江西,文科,2022,750,3+X
169,169,99,187781,江西,文科,2022,750,3+X
168,168,89,187870,江西,文科,2022,750,3+X
167,167,93,187963,江西,文科,2022,750,3+X
166,166,105,188068,江西,文科,2022,750,3+X
165,165,123,188191,江西,文科,2022,750,3+X
164,164,115,188306,江西,文科,2022,750,3+X
163,163,96,188402,江西,文科,2022,750,3+X
162,162,103,188505,江西,文科,2022,750,3+X
161,161,100,188605,江西,文科,2022,750,3+X
160,160,94,188699,江西,文科,2022,750,3+X
159,159,111,188810,江西,文科,2022,750,3+X
158,158,91,188901,江西,文科,2022,750,3+X
157,157,97,188998,江西,文科,2022,750,3+X
156,156,110,189108,江西,文科,2022,750,3+X
155,155,93,189201,江西,文科,2022,750,3+X
154,154,96,189297,江西,文科,2022,750,3+X
153,153,113,189410,江西,文科,2022,750,3+X
152,152,106,189516,江西,文科,2022,750,3+X
151,151,95,189611,江西,文科,2022,750,3+X
150,150,110,189721,江西,文科,2022,750,3+X
149,149,96,189817,江西,文科,2022,750,3+X
148,148,105,189922,江西,文科,2022,750,3+X
147,147,113,190035,江西,文科,2022,750,3+X
146,146,96,190131,江西,文科,2022,750,3+X
145,145,125,190256,江西,文科,2022,750,3+X
144,144,118,190374,江西,文科,2022,750,3+X
143,143,91,190465,江西,文科,2022,750,3+X
142,142,117,190582,江西,文科,2022,750,3+X
141,141,101,190683,江西,文科,2022,750,3+X
140,140,113,190796,江西,文科,2022,750,3+X
139,139,117,190913,江西,文科,2022,750,3+X
138,138,119,191032,江西,文科,2022,750,3+X
137,137,102,191134,江西,文科,2022,750,3+X
136,136,114,191248,江西,文科,2022,750,3+X
135,135,124,191372,江西,文科,2022,750,3+X
134,134,136,191508,江西,文科,2022,750,3+X
133,133,112,191620,江西,文科,2022,750,3+X
132,132,133,191753,江西,文科,2022,750,3+X
131,131,141,191894,江西,文科,2022,750,3+X
130,130,142,192036,江西,文科,2022,750,3+X
129,129,149,192185,江西,文科,2022,750,3+X
128,128,151,192336,江西,文科,2022,750,3+X
127,127,149,192485,江西,文科,2022,750,3+X
126,126,125,192610,江西,文科,2022,750,3+X
125,125,144,192754,江西,文科,2022,750,3+X
124,124,151,192905,江西,文科,2022,750,3+X
123,123,157,193062,江西,文科,2022,750,3+X
122,122,119,193181,江西,文科,2022,750,3+X
121,121,158,193339,江西,文科,2022,750,3+X
120,120,165,193504,江西,文科,2022,750,3+X
119,119,171,193675,江西,文科,2022,750,3+X
118,118,184,193859,江西,文科,2022,750,3+X
117,117,166,194025,江西,文科,2022,750,3+X
116,116,173,194198,江西,文科,2022,750,3+X
115,115,158,194356,江西,文科,2022,750,3+X
114,114,156,194512,江西,文科,2022,750,3+X
113,113,168,194680,江西,文科,2022,750,3+X
112,112,150,194830,江西,文科,2022,750,3+X
111,111,199,195029,江西,文科,2022,750,3+X
110,110,183,195212,江西,文科,2022,750,3+X
109,109,186,195398,江西,文科,2022,750,3+X
108,108,189,195587,江西,文科,2022,750,3+X
107,107,190,195777,江西,文科,2022,750,3+X
106,106,186,195963,江西,文科,2022,750,3+X
105,105,190,196153,江西,文科,2022,750,3+X
104,104,190,196343,江西,文科,2022,750,3+X
103,103,171,196514,江西,文科,2022,750,3+X
102,102,150,196664,江西,文科,2022,750,3+X
101,101,154,196818,江西,文科,2022,750,3+X
100,0,10345,207163,江西,文科,2022,750,3+X
