score,count,cumulative,source
419,172,13749,gankaosheng.com/line/5e559683.html
418,121,13870,gankaosheng.com/line/5e559683.html
417,166,14036,gankaosheng.com/line/5e559683.html
416,129,14165,gankaosheng.com/line/5e559683.html
415,116,14281,gankaosheng.com/line/5e559683.html
414,127,14408,gankaosheng.com/line/5e559683.html
413,94,14502,gankaosheng.com/line/5e559683.html
412,215,14717,gankaosheng.com/line/5e559683.html
411,78,14795,gankaosheng.com/line/5e559683.html
410,272,15067,gankaosheng.com/line/5e559683.html
409,67,15134,gankaosheng.com/line/5e559683.html
408,181,15315,gankaosheng.com/line/5e559683.html
407,117,15432,gankaosheng.com/line/5e559683.html
406,163,15595,gankaosheng.com/line/5e559683.html
405,164,15759,gankaosheng.com/line/5e559683.html
404,142,15901,gankaosheng.com/line/5e559683.html
403,167,16068,gankaosheng.com/line/5e559683.html
402,166,16234,gankaosheng.com/line/5e559683.html
401,154,16388,gankaosheng.com/line/5e559683.html
400,169,16557,gankaosheng.com/line/5e559683.html
399,146,16703,gankaosheng.com/line/5e559683.html
398,165,16868,gankaosheng.com/line/5e559683.html
397,121,16989,gankaosheng.com/line/5e559683.html
396,136,17125,gankaosheng.com/line/5e559683.html
395,195,17320,gankaosheng.com/line/5e559683.html
394,60,17380,gankaosheng.com/line/5e559683.html
393,251,17631,gankaosheng.com/line/5e559683.html
392,97,17728,gankaosheng.com/line/5e559683.html
391,189,17917,gankaosheng.com/line/5e559683.html
390,117,18034,gankaosheng.com/line/5e559683.html
389,170,18204,gankaosheng.com/line/5e559683.html
388,198,18402,gankaosheng.com/line/5e559683.html
387,157,18559,gankaosheng.com/line/5e559683.html
386,166,18725,gankaosheng.com/line/5e559683.html
385,132,18857,gankaosheng.com/line/5e559683.html
384,217,19074,gankaosheng.com/line/5e559683.html
383,168,19242,gankaosheng.com/line/5e559683.html
382,166,19408,gankaosheng.com/line/5e559683.html
381,194,19602,gankaosheng.com/line/5e559683.html
380,157,19759,gankaosheng.com/line/5e559683.html
379,174,19933,gankaosheng.com/line/5e559683.html
378,141,20074,gankaosheng.com/line/5e559683.html
377,203,20277,gankaosheng.com/line/5e559683.html
376,223,20500,gankaosheng.com/line/5e559683.html
375,163,20663,gankaosheng.com/line/5e559683.html
374,166,20829,gankaosheng.com/line/5e559683.html
373,193,21022,gankaosheng.com/line/5e559683.html
372,128,21150,gankaosheng.com/line/5e559683.html
371,205,21355,gankaosheng.com/line/5e559683.html
370,185,21540,gankaosheng.com/line/5e559683.html
369,177,21717,gankaosheng.com/line/5e559683.html
368,194,21911,gankaosheng.com/line/5e559683.html
367,147,22058,gankaosheng.com/line/5e559683.html
366,163,22221,gankaosheng.com/line/5e559683.html
365,187,22408,gankaosheng.com/line/5e559683.html
364,175,22583,gankaosheng.com/line/5e559683.html
363,194,22777,gankaosheng.com/line/5e559683.html
362,177,22954,gankaosheng.com/line/5e559683.html
361,186,23140,gankaosheng.com/line/5e559683.html
360,260,23400,gankaosheng.com/line/5e559683.html
359,79,23479,gankaosheng.com/line/5e559683.html
358,230,23709,gankaosheng.com/line/5e559683.html
357,182,23891,gankaosheng.com/line/5e559683.html
356,113,24004,gankaosheng.com/line/5e559683.html
355,269,24273,gankaosheng.com/line/5e559683.html
354,148,24421,gankaosheng.com/line/5e559683.html
353,224,24645,gankaosheng.com/line/5e559683.html
352,155,24800,gankaosheng.com/line/5e559683.html
351,191,24991,gankaosheng.com/line/5e559683.html
350,209,25200,gankaosheng.com/line/5e559683.html
349,177,25377,gankaosheng.com/line/5e559683.html
348,175,25552,gankaosheng.com/line/5e559683.html
347,214,25766,gankaosheng.com/line/5e559683.html
346,194,25960,gankaosheng.com/line/5e559683.html
345,209,26169,gankaosheng.com/line/5e559683.html
344,180,26349,gankaosheng.com/line/5e559683.html
343,204,26553,gankaosheng.com/line/5e559683.html
342,196,26749,gankaosheng.com/line/5e559683.html
341,251,27000,gankaosheng.com/line/5e559683.html
